Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,128419.20000000008,14.7,1.0000000000000007
BASN_biomass_2,1,87360.0,10.0,1.0
BASN_conventional_hydroelectric_1,1,5.225906695559714e6,1773.8,0.3372441116591252
BASN_conventional_steam_coal_1,1,299.66619631929,51.0,0.0006725970433798616
BASN_conventional_steam_coal_2,1,35801.59977790827,2040.2,0.002008709181818405
BASN_geothermal_1,1,2.1544917636122527e6,287.4,0.8581149119283777
BASN_natural_gas_fired_combined_cycle_1,1,89745.58401067168,433.0,0.023725346634634333
BASN_natural_gas_fired_combined_cycle_2,1,7.383683553558763e6,7113.9,0.11880991748173318
BASN_natural_gas_fired_combustion_turbine_1,1,66831.37374606446,1902.9,0.004020238301332849
BASN_natural_gas_fired_combustion_turbine_2,1,13063.350821906963,236.2,0.00633085069746866
BASN_natural_gas_internal_combustion_engine_1,1,27832.143504360665,221.4,0.014389854844980341
BASN_natural_gas_steam_turbine_1,1,1043.8160818790484,5.0,0.023896888321406788
BASN_onshore_wind_turbine_1,1,2.427851153267114e6,1454.0,0.19113711459003407
BASN_petroleum_liquids_1,1,7.896804297689312,13.6,6.646604565362825e-5
BASN_small_hydroelectric_1,1,1.4449343999999708e6,165.4,0.9999999999999798
BASN_solar_photovoltaic_1,1,1.4560424605813429e7,7922.7,0.21037212955330592
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,355555.19999999856,40.7,0.9999999999999958
CANO_biomass_2,2,235872.0,27.0,1.0
CANO_conventional_hydroelectric_1,2,1.6942008818494335e7,6904.5,0.2808795005104692
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,5.566910671785365e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,1.0701602208849927e6,3112.8,0.0393536447200123
CANO_natural_gas_fired_combined_cycle_2,2,1.776399243440474e7,8296.9,0.24508238527640563
CANO_natural_gas_fired_combustion_turbine_1,2,69925.26044914326,1994.9,0.004012364109129795
CANO_natural_gas_fired_combustion_turbine_2,2,89263.94263600657,1510.0,0.006766849106991741
CANO_natural_gas_internal_combustion_engine_1,2,51566.580507122846,444.4,0.013282556064789905
CANO_natural_gas_steam_turbine_1,2,704.9855452167307,2.9,0.027827205113076715
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,1.2611867769973415e6,698.0,0.20682896596852818
CANO_petroleum_liquids_1,2,25.190777183979908,169.6,1.700212063289127e-5
CANO_small_hydroelectric_1,2,1.8598943999999703e6,212.9,0.999999999999984
CANO_solar_photovoltaic_1,2,1.197552845791951e7,6284.9,0.21811407404932745
CASO_batteries_1,3,116659.79561288713,84.0,0.0
CASO_biomass_1,3,654326.3999999971,74.9,0.9999999999999954
CASO_biomass_2,3,97843.20000000126,11.2,1.0000000000000129
CASO_conventional_hydroelectric_1,3,2.1354913417659304e6,955.0,0.25596572667543227
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,156696.33122729903,23.6,0.760036063645169
CASO_hydroelectric_pumped_storage_1,3,4.153786018607229e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,534214.701070597,1984.9,0.030808076081477717
CASO_natural_gas_fired_combined_cycle_2,3,1.4736827703167815e7,7458.1,0.2261846761313101
CASO_natural_gas_fired_combustion_turbine_1,3,78930.59363984651,1454.7,0.006210968189871868
CASO_natural_gas_fired_combustion_turbine_2,3,607665.1464967185,3954.6,0.01758932364759661
CASO_natural_gas_internal_combustion_engine_1,3,22959.161428628027,50.2,0.052352771671163395
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.099177675118689e7,3464.4,0.36318444844810865
CASO_petroleum_liquids_1,3,21.02805423570688,7.8,0.00030859711414757206
CASO_small_hydroelectric_1,3,635980.8000000064,72.8,1.0000000000000102
CASO_solar_photovoltaic_1,3,2.9988238784572165e7,13760.2,0.24946727817118475
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,283046.4000000031,32.4,1.000000000000011
FRCC_biomass_2,4,802838.3999999875,91.9,0.9999999999999843
FRCC_conventional_hydroelectric_1,4,113681.14201471015,43.5,0.2991483043206342
FRCC_conventional_steam_coal_1,4,60.862871759240754,2523.0,2.7613570426454253e-6
FRCC_conventional_steam_coal_2,4,59.198785597694034,442.0,1.5331261912452043e-5
FRCC_natural_gas_fired_combined_cycle_1,4,79109.3046359874,2312.7,0.003915575850997948
FRCC_natural_gas_fired_combined_cycle_2,4,5.198328012636872e7,28737.0,0.20706639689015263
FRCC_natural_gas_fired_combustion_turbine_1,4,91.70351738480963,8448.4,1.2425071614554153e-6
FRCC_natural_gas_fired_combustion_turbine_2,4,97.2488514703651,234.7,4.743061610018728e-5
FRCC_natural_gas_internal_combustion_engine_1,4,6815.000590940617,262.9,0.002967308402432913
FRCC_natural_gas_steam_turbine_1,4,106.35001839933133,335.0,3.633959952959493e-5
FRCC_nuclear_1,4,2.2477404431769494e7,3737.0,0.6885102920824393
FRCC_petroleum_liquids_1,4,25.3368625173344,149.7,1.9373960464682724e-5
FRCC_solar_photovoltaic_1,4,1.5176580933110753e7,9413.7,0.18454443905510132
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,4368.0,0.5,0.0
ISNE_biomass_2,5,496204.80000000144,56.8,1.0000000000000029
ISNE_conventional_hydroelectric_1,5,1.667651050893824e6,516.1,0.36987816726627504
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,3.487211461515779e6,1768.0,0.0
