Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,128419.20000000008,14.7,1.0000000000000007
BASN_biomass_2,1,87360.0,10.0,1.0
BASN_conventional_hydroelectric_1,1,5.204656674408886e6,1773.8,0.33587278129996706
BASN_conventional_steam_coal_1,1,90.2438666580841,51.0,0.00020255123414961778
BASN_conventional_steam_coal_2,1,122.78674653461896,2040.2,6.8891576549574115e-6
BASN_geothermal_1,1,2.226454736210761e6,287.4,0.8867771240270391
BASN_natural_gas_fired_combined_cycle_1,1,32696.16243627536,433.0,0.008643631839653538
BASN_natural_gas_fired_combined_cycle_2,1,3.039755389989774e6,7113.9,0.0489123192278834
BASN_natural_gas_fired_combustion_turbine_1,1,149.4653876272943,1902.9,8.991083713855191e-6
BASN_natural_gas_fired_combustion_turbine_2,1,143.44895903731245,236.2,6.951921867164188e-5
BASN_natural_gas_internal_combustion_engine_1,1,31210.20255735939,221.4,0.016136388647625018
BASN_natural_gas_steam_turbine_1,1,96.7123789276612,5.0,0.002214111239186383
BASN_onshore_wind_turbine_1,1,2.476063314983494e6,1454.0,0.19493270702831697
BASN_petroleum_liquids_1,1,25.881621252274392,13.6,0.00021784116142360883
BASN_small_hydroelectric_1,1,1.4449343999999708e6,165.4,0.9999999999999798
BASN_solar_photovoltaic_1,1,1.4672069597481772e7,7922.7,0.2119852002766592
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,355555.19999999856,40.7,0.9999999999999958
CANO_biomass_2,2,235872.0,27.0,1.0
CANO_conventional_hydroelectric_1,2,1.68818087218142e7,6904.5,0.27988145044053064
CANO_hydroelectric_pumped_storage_1,2,5.880851316850678e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,148178.48245889833,3112.8,0.005449056356267554
CANO_natural_gas_fired_combined_cycle_2,2,6.263084640300723e6,8296.9,0.08640916328358908
CANO_natural_gas_fired_combustion_turbine_1,2,161.65644711574262,1994.9,9.27596868785909e-6
CANO_natural_gas_fired_combustion_turbine_2,2,164.37385697265293,1510.0,1.2460721030481538e-5
CANO_natural_gas_internal_combustion_engine_1,2,8788.333189741103,444.4,0.002263705042312551
CANO_natural_gas_steam_turbine_1,2,263.7426920828141,2.9,0.010410457405062449
CANO_onshore_wind_turbine_1,2,1.256413445778833e6,698.0,0.20604616109128399
CANO_petroleum_liquids_1,2,50.35502206626145,169.6,3.3986333704183735e-5
CANO_small_hydroelectric_1,2,1.8598943999999703e6,212.9,0.999999999999984
CANO_solar_photovoltaic_1,2,1.1978669765796177e7,6284.9,0.21817128767970964
CASO_batteries_1,3,114104.37788715513,84.0,0.0
CASO_biomass_1,3,654326.3999999971,74.9,0.9999999999999954
CASO_biomass_2,3,97843.20000000126,11.2,1.0000000000000129
CASO_conventional_hydroelectric_1,3,2.0708113923133789e6,955.0,0.24821301424848238
CASO_geothermal_1,3,169627.50873522836,23.6,0.8227571316781346
CASO_hydroelectric_pumped_storage_1,3,4.661781327487659e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,151854.92012561057,1984.9,0.008757448874396067
CASO_natural_gas_fired_combined_cycle_2,3,1.018974017537138e7,7458.1,0.15639479051065683
CASO_natural_gas_fired_combustion_turbine_1,3,1488.4664397335955,1454.7,0.00011712591129189397
CASO_natural_gas_fired_combustion_turbine_2,3,87546.72818671577,3954.6,0.0025341057410351703
CASO_natural_gas_internal_combustion_engine_1,3,16799.140146939037,50.2,0.0383063445552475
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.0986879705270575e7,3464.4,0.3630226428583117
CASO_petroleum_liquids_1,3,49.57115202511866,7.8,0.0007274812157344595
CASO_small_hydroelectric_1,3,635980.8000000064,72.8,1.0000000000000102
CASO_solar_photovoltaic_1,3,2.9587429742353886e7,13760.2,0.24613301297652332
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,283046.4000000031,32.4,1.000000000000011
FRCC_biomass_2,4,802838.3999999875,91.9,0.9999999999999843
FRCC_conventional_hydroelectric_1,4,108646.48910734877,43.5,0.28589977555510493
FRCC_conventional_steam_coal_1,4,126.73113830974991,2523.0,5.749809550203599e-6
FRCC_conventional_steam_coal_2,4,101.07854070142398,442.0,2.6177252887470368e-5
FRCC_natural_gas_fired_combined_cycle_1,4,401.1657817937288,2312.7,1.98560087800806e-5
FRCC_natural_gas_fired_combined_cycle_2,4,1.171802460117237e7,28737.0,0.046676722341038375
FRCC_natural_gas_fired_combustion_turbine_1,4,159.0221706080985,8448.4,2.1546194894752934e-6
FRCC_natural_gas_fired_combustion_turbine_2,4,154.27362693322982,234.7,7.524297781227117e-5
FRCC_natural_gas_internal_combustion_engine_1,4,52922.4391558921,262.9,0.023042873773668843
FRCC_natural_gas_steam_turbine_1,4,162.2176998392159,335.0,5.5429480290585495e-5
FRCC_nuclear_1,4,2.8141866379901566e7,3737.0,0.8620196651168974
FRCC_petroleum_liquids_1,4,44.625344595911166,149.7,3.412299614178844e-5
FRCC_solar_photovoltaic_1,4,1.4222716044509733e7,9413.7,0.1729456170557941
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,4368.0,0.5,0.0
ISNE_biomass_2,5,496204.80000000144,56.8,1.0000000000000029
ISNE_conventional_hydroelectric_1,5,1.6229955483915012e6,516.1,0.35997375985738633
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,4.313471037681649e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.5206499447991443e6,3158.8,0.05510544271109265
ISNE_natural_gas_fired_combined_cycle_2,5,1.0595108785769159e7,10499.0,0.11551672270036051
