model,line,line_name,planning_year,case,unit,value
TEMOA,1,BASN_to_CANO,2030,base_short_tx_15,MW,0
TEMOA,2,BASN_to_CASO,2030,base_short_tx_15,MW,0
TEMOA,3,BASN_to_NWPP,2030,base_short_tx_15,MW,0
TEMOA,4,BASN_to_RMRG,2030,base_short_tx_15,MW,0
TEMOA,5,BASN_to_SRSG,2030,base_short_tx_15,MW,0
TEMOA,6,CANO_to_CASO,2030,base_short_tx_15,MW,0
TEMOA,7,CANO_to_NWPP,2030,base_short_tx_15,MW,0
TEMOA,8,CASO_to_NWPP,2030,base_short_tx_15,MW,0
TEMOA,9,CASO_to_SRSG,2030,base_short_tx_15,MW,0
TEMOA,10,FRCC_to_SRSE,2030,base_short_tx_15,MW,0
TEMOA,11,ISNE_to_NYCW,2030,base_short_tx_15,MW,0
TEMOA,12,ISNE_to_NYUP,2030,base_short_tx_15,MW,0
TEMOA,13,MISC_to_MISE,2030,base_short_tx_15,MW,0
TEMOA,14,MISC_to_MISS,2030,base_short_tx_15,MW,0
TEMOA,15,MISC_to_MISW,2030,base_short_tx_15,MW,0
TEMOA,16,MISC_to_PJMC,2030,base_short_tx_15,MW,0
TEMOA,17,MISC_to_PJMW,2030,base_short_tx_15,MW,0
TEMOA,18,MISC_to_SPPC,2030,base_short_tx_15,MW,0
TEMOA,19,MISC_to_SPPN,2030,base_short_tx_15,MW,0
TEMOA,20,MISC_to_SPPS,2030,base_short_tx_15,MW,0
TEMOA,21,MISC_to_SRCE,2030,base_short_tx_15,MW,0
TEMOA,22,MISE_to_MISW,2030,base_short_tx_15,MW,0
TEMOA,23,MISE_to_PJMW,2030,base_short_tx_15,MW,0
TEMOA,24,MISS_to_SPPC,2030,base_short_tx_15,MW,0
TEMOA,25,MISS_to_SPPS,2030,base_short_tx_15,MW,0
TEMOA,26,MISS_to_SRCE,2030,base_short_tx_15,MW,0
TEMOA,27,MISS_to_SRSE,2030,base_short_tx_15,MW,0
TEMOA,28,MISW_to_NWPP,2030,base_short_tx_15,MW,0
TEMOA,29,MISW_to_PJMC,2030,base_short_tx_15,MW,0
TEMOA,30,MISW_to_SPPC,2030,base_short_tx_15,MW,0
TEMOA,31,MISW_to_SPPN,2030,base_short_tx_15,MW,0
TEMOA,32,NWPP_to_RMRG,2030,base_short_tx_15,MW,0
TEMOA,33,NYCW_to_NYUP,2030,base_short_tx_15,MW,0
TEMOA,34,NYCW_to_PJME,2030,base_short_tx_15,MW,0
TEMOA,35,NYUP_to_PJME,2030,base_short_tx_15,MW,0
TEMOA,36,PJMC_to_PJMW,2030,base_short_tx_15,MW,0
TEMOA,37,PJMD_to_PJME,2030,base_short_tx_15,MW,0
TEMOA,38,PJMD_to_PJMW,2030,base_short_tx_15,MW,0
TEMOA,39,PJMD_to_SRCA,2030,base_short_tx_15,MW,0
TEMOA,40,PJME_to_PJMW,2030,base_short_tx_15,MW,0
TEMOA,41,PJMW_to_SRCA,2030,base_short_tx_15,MW,0
TEMOA,42,PJMW_to_SRCE,2030,base_short_tx_15,MW,0
TEMOA,43,RMRG_to_SPPC,2030,base_short_tx_15,MW,0
TEMOA,44,RMRG_to_SPPN,2030,base_short_tx_15,MW,0
TEMOA,45,RMRG_to_SRSG,2030,base_short_tx_15,MW,0
TEMOA,46,SPPC_to_SPPN,2030,base_short_tx_15,MW,0
TEMOA,47,SPPC_to_SPPS,2030,base_short_tx_15,MW,0
TEMOA,48,SPPN_to_SPPS,2030,base_short_tx_15,MW,0
TEMOA,49,SPPS_to_SRSG,2030,base_short_tx_15,MW,0
TEMOA,50,SPPS_to_TRE,2030,base_short_tx_15,MW,0
TEMOA,51,SPPS_to_TRE_WEST,2030,base_short_tx_15,MW,0
TEMOA,52,SRCA_to_SRCE,2030,base_short_tx_15,MW,0
TEMOA,53,SRCA_to_SRSE,2030,base_short_tx_15,MW,0
TEMOA,54,SRCE_to_SRSE,2030,base_short_tx_15,MW,0
TEMOA,55,TRE_to_TRE_WEST,2030,base_short_tx_15,MW,0
TEMOA,56,NWPP_to_SPPN,2030,base_short_tx_15,MW,0
TEMOA,57,SRSG_to_TRE,2030,base_short_tx_15,MW,0
TEMOA,1,BASN_to_CANO,2040,base_short_tx_15,MW,0
TEMOA,2,BASN_to_CASO,2040,base_short_tx_15,MW,0
TEMOA,3,BASN_to_NWPP,2040,base_short_tx_15,MW,0
TEMOA,4,BASN_to_RMRG,2040,base_short_tx_15,MW,0
TEMOA,5,BASN_to_SRSG,2040,base_short_tx_15,MW,0
TEMOA,6,CANO_to_CASO,2040,base_short_tx_15,MW,0
TEMOA,7,CANO_to_NWPP,2040,base_short_tx_15,MW,0
TEMOA,8,CASO_to_NWPP,2040,base_short_tx_15,MW,0
TEMOA,9,CASO_to_SRSG,2040,base_short_tx_15,MW,0
TEMOA,10,FRCC_to_SRSE,2040,base_short_tx_15,MW,0
TEMOA,11,ISNE_to_NYCW,2040,base_short_tx_15,MW,0
TEMOA,12,ISNE_to_NYUP,2040,base_short_tx_15,MW,0
TEMOA,13,MISC_to_MISE,2040,base_short_tx_15,MW,0
TEMOA,14,MISC_to_MISS,2040,base_short_tx_15,MW,0
TEMOA,15,MISC_to_MISW,2040,base_short_tx_15,MW,0
TEMOA,16,MISC_to_PJMC,2040,base_short_tx_15,MW,0
TEMOA,17,MISC_to_PJMW,2040,base_short_tx_15,MW,0
TEMOA,18,MISC_to_SPPC,2040,base_short_tx_15,MW,0
TEMOA,19,MISC_to_SPPN,2040,base_short_tx_15,MW,0
TEMOA,20,MISC_to_SPPS,2040,base_short_tx_15,MW,0
TEMOA,21,MISC_to_SRCE,2040,base_short_tx_15,MW,0
TEMOA,22,MISE_to_MISW,2040,base_short_tx_15,MW,0
TEMOA,23,MISE_to_PJMW,2040,base_short_tx_15,MW,0
TEMOA,24,MISS_to_SPPC,2040,base_short_tx_15,MW,0
TEMOA,25,MISS_to_SPPS,2040,base_short_tx_15,MW,0
TEMOA,26,MISS_to_SRCE,2040,base_short_tx_15,MW,0
TEMOA,27,MISS_to_SRSE,2040,base_short_tx_15,MW,0
TEMOA,28,MISW_to_NWPP,2040,base_short_tx_15,MW,0
TEMOA,29,MISW_to_PJMC,2040,base_short_tx_15,MW,0
TEMOA,30,MISW_to_SPPC,2040,base_short_tx_15,MW,0
TEMOA,31,MISW_to_SPPN,2040,base_short_tx_15,MW,0
TEMOA,32,NWPP_to_RMRG,2040,base_short_tx_15,MW,0
TEMOA,33,NYCW_to_NYUP,2040,base_short_tx_15,MW,0
TEMOA,34,NYCW_to_PJME,2040,base_short_tx_15,MW,0
TEMOA,35,NYUP_to_PJME,2040,base_short_tx_15,MW,0
TEMOA,36,PJMC_to_PJMW,2040,base_short_tx_15,MW,0
TEMOA,37,PJMD_to_PJME,2040,base_short_tx_15,MW,0
TEMOA,38,PJMD_to_PJMW,2040,base_short_tx_15,MW,0
TEMOA,39,PJMD_to_SRCA,2040,base_short_tx_15,MW,0
TEMOA,40,PJME_to_PJMW,2040,base_short_tx_15,MW,0
TEMOA,41,PJMW_to_SRCA,2040,base_short_tx_15,MW,0
TEMOA,42,PJMW_to_SRCE,2040,base_short_tx_15,MW,0
TEMOA,43,RMRG_to_SPPC,2040,base_short_tx_15,MW,0
TEMOA,44,RMRG_to_SPPN,2040,base_short_tx_15,MW,0
TEMOA,45,RMRG_to_SRSG,2040,base_short_tx_15,MW,0
TEMOA,46,SPPC_to_SPPN,2040,base_short_tx_15,MW,0
TEMOA,47,SPPC_to_SPPS,2040,base_short_tx_15,MW,0
TEMOA,48,SPPN_to_SPPS,2040,base_short_tx_15,MW,0
TEMOA,49,SPPS_to_SRSG,2040,base_short_tx_15,MW,0
TEMOA,50,SPPS_to_TRE,2040,base_short_tx_15,MW,0
TEMOA,51,SPPS_to_TRE_WEST,2040,base_short_tx_15,MW,0
TEMOA,52,SRCA_to_SRCE,2040,base_short_tx_15,MW,0
TEMOA,53,SRCA_to_SRSE,2040,base_short_tx_15,MW,0
TEMOA,54,SRCE_to_SRSE,2040,base_short_tx_15,MW,0
TEMOA,55,TRE_to_TRE_WEST,2040,base_short_tx_15,MW,0
TEMOA,56,NWPP_to_SPPN,2040,base_short_tx_15,MW,0
TEMOA,57,SRSG_to_TRE,2040,base_short_tx_15,MW,0
TEMOA,1,BASN_to_CANO,2050,base_short_tx_15,MW,0
TEMOA,2,BASN_to_CASO,2050,base_short_tx_15,MW,0
TEMOA,3,BASN_to_NWPP,2050,base_short_tx_15,MW,0
TEMOA,4,BASN_to_RMRG,2050,base_short_tx_15,MW,0
TEMOA,5,BASN_to_SRSG,2050,base_short_tx_15,MW,0
TEMOA,6,CANO_to_CASO,2050,base_short_tx_15,MW,0
TEMOA,7,CANO_to_NWPP,2050,base_short_tx_15,MW,0
TEMOA,8,CASO_to_NWPP,2050,base_short_tx_15,MW,0
TEMOA,9,CASO_to_SRSG,2050,base_short_tx_15,MW,0
TEMOA,10,FRCC_to_SRSE,2050,base_short_tx_15,MW,0
TEMOA,11,ISNE_to_NYCW,2050,base_short_tx_15,MW,0
TEMOA,12,ISNE_to_NYUP,2050,base_short_tx_15,MW,0
TEMOA,13,MISC_to_MISE,2050,base_short_tx_15,MW,0
TEMOA,14,MISC_to_MISS,2050,base_short_tx_15,MW,0
TEMOA,15,MISC_to_MISW,2050,base_short_tx_15,MW,0
TEMOA,16,MISC_to_PJMC,2050,base_short_tx_15,MW,0
TEMOA,17,MISC_to_PJMW,2050,base_short_tx_15,MW,0
TEMOA,18,MISC_to_SPPC,2050,base_short_tx_15,MW,0
TEMOA,19,MISC_to_SPPN,2050,base_short_tx_15,MW,0
TEMOA,20,MISC_to_SPPS,2050,base_short_tx_15,MW,0
TEMOA,21,MISC_to_SRCE,2050,base_short_tx_15,MW,0
TEMOA,22,MISE_to_MISW,2050,base_short_tx_15,MW,0
TEMOA,23,MISE_to_PJMW,2050,base_short_tx_15,MW,0
TEMOA,24,MISS_to_SPPC,2050,base_short_tx_15,MW,0
TEMOA,25,MISS_to_SPPS,2050,base_short_tx_15,MW,0
TEMOA,26,MISS_to_SRCE,2050,base_short_tx_15,MW,0
TEMOA,27,MISS_to_SRSE,2050,base_short_tx_15,MW,0
TEMOA,28,MISW_to_NWPP,2050,base_short_tx_15,MW,0
TEMOA,29,MISW_to_PJMC,2050,base_short_tx_15,MW,0
TEMOA,30,MISW_to_SPPC,2050,base_short_tx_15,MW,0
TEMOA,31,MISW_to_SPPN,2050,base_short_tx_15,MW,0
TEMOA,32,NWPP_to_RMRG,2050,base_short_tx_15,MW,0
TEMOA,33,NYCW_to_NYUP,2050,base_short_tx_15,MW,0
TEMOA,34,NYCW_to_PJME,2050,base_short_tx_15,MW,0
TEMOA,35,NYUP_to_PJME,2050,base_short_tx_15,MW,0
TEMOA,36,PJMC_to_PJMW,2050,base_short_tx_15,MW,0
TEMOA,37,PJMD_to_PJME,2050,base_short_tx_15,MW,0
TEMOA,38,PJMD_to_PJMW,2050,base_short_tx_15,MW,0
TEMOA,39,PJMD_to_SRCA,2050,base_short_tx_15,MW,0
TEMOA,40,PJME_to_PJMW,2050,base_short_tx_15,MW,0
TEMOA,41,PJMW_to_SRCA,2050,base_short_tx_15,MW,0
TEMOA,42,PJMW_to_SRCE,2050,base_short_tx_15,MW,0
TEMOA,43,RMRG_to_SPPC,2050,base_short_tx_15,MW,0
TEMOA,44,RMRG_to_SPPN,2050,base_short_tx_15,MW,0
TEMOA,45,RMRG_to_SRSG,2050,base_short_tx_15,MW,0
TEMOA,46,SPPC_to_SPPN,2050,base_short_tx_15,MW,0
TEMOA,47,SPPC_to_SPPS,2050,base_short_tx_15,MW,0
TEMOA,48,SPPN_to_SPPS,2050,base_short_tx_15,MW,0
TEMOA,49,SPPS_to_SRSG,2050,base_short_tx_15,MW,0
TEMOA,50,SPPS_to_TRE,2050,base_short_tx_15,MW,0
TEMOA,51,SPPS_to_TRE_WEST,2050,base_short_tx_15,MW,0
TEMOA,52,SRCA_to_SRCE,2050,base_short_tx_15,MW,0
TEMOA,53,SRCA_to_SRSE,2050,base_short_tx_15,MW,0
TEMOA,54,SRCE_to_SRSE,2050,base_short_tx_15,MW,0
TEMOA,55,TRE_to_TRE_WEST,2050,base_short_tx_15,MW,0
TEMOA,56,NWPP_to_SPPN,2050,base_short_tx_15,MW,0
TEMOA,57,SRSG_to_TRE,2050,base_short_tx_15,MW,0
