Region,Resource,Zone,Cluster,AnnualSum
BASN,BASN_biomass_1,1,1,0.0
BASN,BASN_conventional_hydroelectric_1,1,1,4.5527638557132554e8
BASN,BASN_conventional_steam_coal_1,1,1,6.577374739768779e7
BASN,BASN_geothermal_1,1,1,0.0
BASN,BASN_natural_gas_fired_combined_cycle_1,1,1,4.0369893298627534e9
BASN,BASN_natural_gas_fired_combustion_turbine_1,1,1,0.0
BASN,BASN_natural_gas_internal_combustion_engine_1,1,1,5.522900874663895e7
BASN,BASN_onshore_wind_turbine_1,1,1,0.0
BASN,BASN_small_hydroelectric_1,1,1,1.2456400825667177e8
BASN,BASN_solar_photovoltaic_1,1,1,0.0
CANO,CANO_biomass_1,2,1,0.0
CANO,CANO_conventional_hydroelectric_1,2,1,1.587575495500812e9
CANO,CANO_hydroelectric_pumped_storage_1,2,1,7.577471585093588e8
CANO,CANO_natural_gas_fired_combined_cycle_1,2,1,5.29135560836518e9
CANO,CANO_natural_gas_fired_combustion_turbine_1,2,1,0.0
CANO,CANO_natural_gas_internal_combustion_engine_1,2,1,1.052268674602444e8
CANO,CANO_natural_gas_steam_turbine_1,2,1,0.0
CANO,CANO_onshore_wind_turbine_1,2,1,0.0
CANO,CANO_petroleum_liquids_1,2,1,0.0
CANO,CANO_small_hydroelectric_1,2,1,1.6826300208638343e8
CANO,CANO_solar_photovoltaic_1,2,1,0.0
CASO,CASO_biomass_1,3,1,0.0
CASO,CASO_conventional_hydroelectric_1,3,1,2.3471871079703414e8
CASO,CASO_geothermal_1,3,1,0.0
CASO,CASO_hydroelectric_pumped_storage_1,3,1,5.718911052016397e8
CASO,CASO_natural_gas_fired_combined_cycle_1,3,1,4.277158058963967e9
CASO,CASO_natural_gas_fired_combustion_turbine_1,3,1,0.0
CASO,CASO_natural_gas_internal_combustion_engine_1,3,1,1.4029664676908996e7
CASO,CASO_onshore_wind_turbine_1,3,1,0.0
CASO,CASO_petroleum_liquids_1,3,1,0.0
CASO,CASO_small_hydroelectric_1,3,1,5.398516812660993e7
CASO,CASO_solar_photovoltaic_1,3,1,0.0
FRCC,FRCC_biomass_1,4,1,0.0
FRCC,FRCC_conventional_hydroelectric_1,4,1,9.125347815869961e6
FRCC,FRCC_conventional_steam_coal_1,4,1,5.192738453609101e7
FRCC,FRCC_natural_gas_fired_combined_cycle_1,4,1,6.235360751159182e9
FRCC,FRCC_natural_gas_fired_combustion_turbine_1,4,1,0.0
FRCC,FRCC_natural_gas_internal_combustion_engine_1,4,1,1.568695301981967e7
FRCC,FRCC_natural_gas_steam_turbine_1,4,1,0.0
FRCC,FRCC_nuclear_1,4,1,2.2278514456871867e9
FRCC,FRCC_petroleum_liquids_1,4,1,0.0
FRCC,FRCC_solar_photovoltaic_1,4,1,0.0
ISNE,ISNE_biomass_1,5,1,0.0
ISNE,ISNE_conventional_hydroelectric_1,5,1,1.68032950347285e8
ISNE,ISNE_hydroelectric_pumped_storage_1,5,1,5.544528859176182e8
ISNE,ISNE_natural_gas_fired_combined_cycle_1,5,1,3.798426344883116e9
ISNE,ISNE_natural_gas_fired_combustion_turbine_1,5,1,0.0
ISNE,ISNE_natural_gas_internal_combustion_engine_1,5,1,1.349900178443843e7
ISNE,ISNE_natural_gas_steam_turbine_1,5,1,0.0
ISNE,ISNE_nuclear_1,5,1,2.5653006010419765e9
ISNE,ISNE_onshore_wind_turbine_1,5,1,0.0
ISNE,ISNE_petroleum_liquids_1,5,1,0.0
ISNE,ISNE_small_hydroelectric_1,5,1,1.5698312313352388e8
ISNE,ISNE_solar_photovoltaic_1,5,1,0.0
MISC,MISC_biomass_1,6,1,0.0
MISC,MISC_conventional_hydroelectric_1,6,1,7.893330612428121e7
MISC,MISC_conventional_steam_coal_1,6,1,6.922278964831326e8
MISC,MISC_hydroelectric_pumped_storage_1,6,1,1.7292451585985085e8
MISC,MISC_natural_gas_fired_combined_cycle_1,6,1,2.099949779639653e9
MISC,MISC_natural_gas_fired_combustion_turbine_1,6,1,0.0
MISC,MISC_natural_gas_internal_combustion_engine_1,6,1,9.947265944028737e6
MISC,MISC_natural_gas_steam_turbine_1,6,1,0.0
MISC,MISC_nuclear_1,6,1,1.6816229246339452e9
MISC,MISC_onshore_wind_turbine_1,6,1,0.0
MISC,MISC_petroleum_liquids_1,6,1,0.0
MISC,MISC_small_hydroelectric_1,6,1,9.246558019302722e6
MISC,MISC_solar_photovoltaic_1,6,1,0.0
MISE,MISE_biomass_1,7,1,0.0
MISE,MISE_conventional_steam_coal_1,7,1,1.683368564721817e7
MISE,MISE_hydroelectric_pumped_storage_1,7,1,8.26950031154333e8
MISE,MISE_natural_gas_fired_combined_cycle_1,7,1,2.1696809379685326e9
MISE,MISE_natural_gas_fired_combustion_turbine_1,7,1,0.0
MISE,MISE_natural_gas_internal_combustion_engine_1,7,1,2.5716009910691917e7
MISE,MISE_natural_gas_steam_turbine_1,7,1,0.0
MISE,MISE_nuclear_1,7,1,9.186129609291346e8
MISE,MISE_onshore_wind_turbine_1,7,1,0.0
MISE,MISE_small_hydroelectric_1,7,1,8.081695528031888e6
MISE,MISE_solar_photovoltaic_1,7,1,0.0
MISS,MISS_biomass_1,8,1,0.0
MISS,MISS_conventional_hydroelectric_1,8,1,6.812955507158898e7
MISS,MISS_conventional_steam_coal_1,8,1,1.2315580194919693e8
MISS,MISS_natural_gas_fired_combined_cycle_1,8,1,6.560575548615749e9
MISS,MISS_natural_gas_fired_combustion_turbine_1,8,1,0.0
MISS,MISS_natural_gas_internal_combustion_engine_1,8,1,2.1809018113837652e7
MISS,MISS_natural_gas_steam_turbine_1,8,1,0.0
MISS,MISS_nuclear_1,8,1,3.555603184319215e9
MISS,MISS_onshore_wind_turbine_1,8,1,0.0
MISS,MISS_petroleum_liquids_1,8,1,0.0
MISS,MISS_small_hydroelectric_1,8,1,0.0
MISS,MISS_solar_photovoltaic_1,8,1,0.0
MISW,MISW_biomass_1,9,1,0.0
MISW,MISW_conventional_hydroelectric_1,9,1,1.8843675966555767e7
MISW,MISW_conventional_steam_coal_1,9,1,8.839300135727433e8
MISW,MISW_natural_gas_fired_combined_cycle_1,9,1,3.4869797346082416e9
MISW,MISW_natural_gas_fired_combustion_turbine_1,9,1,0.0
MISW,MISW_natural_gas_internal_combustion_engine_1,9,1,2.199542575124912e8
MISW,MISW_natural_gas_steam_turbine_1,9,1,0.0
MISW,MISW_nuclear_1,9,1,1.7220070430061624e9
MISW,MISW_onshore_wind_turbine_1,9,1,0.0
MISW,MISW_petroleum_liquids_1,9,1,0.0
MISW,MISW_small_hydroelectric_1,9,1,9.26268968290907e7
MISW,MISW_solar_photovoltaic_1,9,1,0.0
NWPP,NWPP_biomass_1,10,1,0.0
NWPP,NWPP_conventional_hydroelectric_1,10,1,1.2308561800140568e10
NWPP,NWPP_conventional_steam_coal_1,10,1,2.0420545393865034e8
NWPP,NWPP_hydroelectric_pumped_storage_1,10,1,9.9941785937496e7
NWPP,NWPP_natural_gas_fired_combined_cycle_1,10,1,2.4575854004452806e9
NWPP,NWPP_natural_gas_fired_combustion_turbine_1,10,1,0.0
NWPP,NWPP_natural_gas_internal_combustion_engine_1,10,1,8.987358765451367e7
NWPP,NWPP_natural_gas_steam_turbine_1,10,1,0.0
NWPP,NWPP_nuclear_1,10,1,8.873894657553016e8
NWPP,NWPP_onshore_wind_turbine_1,10,1,0.0
NWPP,NWPP_petroleum_liquids_1,10,1,0.0
NWPP,NWPP_small_hydroelectric_1,10,1,2.783404575123772e8
NWPP,NWPP_solar_photovoltaic_1,10,1,0.0
NYCW,NYCW_biomass_1,11,1,0.0
NYCW,NYCW_natural_gas_fired_combined_cycle_1,11,1,1.4011025723769262e9
NYCW,NYCW_natural_gas_fired_combustion_turbine_1,11,1,0.0
NYCW,NYCW_natural_gas_internal_combustion_engine_1,11,1,1.160193492737529e7
NYCW,NYCW_natural_gas_steam_turbine_1,11,1,0.0
NYCW,NYCW_petroleum_liquids_1,11,1,0.0
NYCW,NYCW_solar_photovoltaic_1,11,1,0.0
NYUP,NYUP_biomass_1,12,1,0.0
NYUP,NYUP_conventional_hydroelectric_1,12,1,1.7100409216254442e9
NYUP,NYUP_hydroelectric_pumped_storage_1,12,1,4.8245969257701296e8
NYUP,NYUP_natural_gas_fired_combined_cycle_1,12,1,2.493745118829007e9
NYUP,NYUP_natural_gas_fired_combustion_turbine_1,12,1,0.0
NYUP,NYUP_natural_gas_internal_combustion_engine_1,12,1,5.351375515030237e6
NYUP,NYUP_natural_gas_steam_turbine_1,12,1,0.0
NYUP,NYUP_nuclear_1,12,1,1.6585603284370909e9
NYUP,NYUP_onshore_wind_turbine_1,12,1,0.0
NYUP,NYUP_petroleum_liquids_1,12,1,0.0
NYUP,NYUP_small_hydroelectric_1,12,1,1.7895974954976007e8
NYUP,NYUP_solar_photovoltaic_1,12,1,0.0
PJMC,PJMC_biomass_1,13,1,0.0
PJMC,PJMC_conventional_hydroelectric_1,13,1,2.8927983020558185e6
PJMC,PJMC_conventional_steam_coal_1,13,1,1.1156507973357825e7
PJMC,PJMC_natural_gas_fired_combined_cycle_1,13,1,2.183596232569677e9
PJMC,PJMC_natural_gas_fired_combustion_turbine_1,13,1,0.0
PJMC,PJMC_natural_gas_internal_combustion_engine_1,13,1,3.2607957989446472e7
PJMC,PJMC_natural_gas_steam_turbine_1,13,1,0.0
PJMC,PJMC_nuclear_1,13,1,4.834862557852969e9
PJMC,PJMC_onshore_wind_turbine_1,13,1,0.0
PJMC,PJMC_petroleum_liquids_1,13,1,0.0
PJMC,PJMC_small_hydroelectric_1,13,1,0.0
PJMC,PJMC_solar_photovoltaic_1,13,1,0.0
PJMD,PJMD_biomass_1,14,1,0.0
PJMD,PJMD_conventional_hydroelectric_1,14,1,8.150482164882179e7
PJMD,PJMD_conventional_steam_coal_1,14,1,2.017256489676682e8
PJMD,PJMD_hydroelectric_pumped_storage_1,14,1,1.0244655778189378e9
PJMD,PJMD_natural_gas_fired_combined_cycle_1,14,1,2.272896835894044e9
PJMD,PJMD_natural_gas_fired_combustion_turbine_1,14,1,0.0
PJMD,PJMD_natural_gas_internal_combustion_engine_1,14,1,0.0
PJMD,PJMD_natural_gas_steam_turbine_1,14,1,0.0
PJMD,PJMD_nuclear_1,14,1,2.7238712074839015e9
PJMD,PJMD_petroleum_liquids_1,14,1,0.0
PJMD,PJMD_small_hydroelectric_1,14,1,0.0
PJMD,PJMD_solar_photovoltaic_1,14,1,0.0
PJME,PJME_biomass_1,15,1,0.0
PJME,PJME_conventional_hydroelectric_1,15,1,1.833243559376826e8
PJME,PJME_conventional_steam_coal_1,15,1,4.121749269809614e8
PJME,PJME_hydroelectric_pumped_storage_1,15,1,7.369279872645187e8
PJME,PJME_natural_gas_fired_combined_cycle_1,15,1,1.130337548716963e10
PJME,PJME_natural_gas_fired_combustion_turbine_1,15,1,0.0
PJME,PJME_natural_gas_internal_combustion_engine_1,15,1,6.164605904774528e7
PJME,PJME_natural_gas_steam_turbine_1,15,1,0.0
PJME,PJME_nuclear_1,15,1,9.94824197604727e9
PJME,PJME_petroleum_liquids_1,15,1,0.0
PJME,PJME_small_hydroelectric_1,15,1,4.5283171697787255e7
PJME,PJME_solar_photovoltaic_1,15,1,0.0
PJMW,PJMW_biomass_1,16,1,0.0
PJMW,PJMW_conventional_hydroelectric_1,16,1,1.610489950598012e8
PJMW,PJMW_conventional_steam_coal_1,16,1,4.994229830201723e8
PJMW,PJMW_hydroelectric_pumped_storage_1,16,1,8.398498696840516e7
PJMW,PJMW_natural_gas_fired_combined_cycle_1,16,1,5.959244414280445e9
PJMW,PJMW_natural_gas_fired_combustion_turbine_1,16,1,0.0
PJMW,PJMW_natural_gas_internal_combustion_engine_1,16,1,1.924114250589443e7
PJMW,PJMW_natural_gas_steam_turbine_1,16,1,0.0
PJMW,PJMW_nuclear_1,16,1,4.440844395712344e9
PJMW,PJMW_onshore_wind_turbine_1,16,1,0.0
PJMW,PJMW_petroleum_liquids_1,16,1,0.0
PJMW,PJMW_small_hydroelectric_1,16,1,7.085966001780348e7
PJMW,PJMW_solar_photovoltaic_1,16,1,0.0
RMRG,RMRG_biomass_1,17,1,0.0
RMRG,RMRG_conventional_hydroelectric_1,17,1,1.3008942290440233e8
RMRG,RMRG_conventional_steam_coal_1,17,1,3.8190277416508937e8
RMRG,RMRG_hydroelectric_pumped_storage_1,17,1,1.97647465754907e8
RMRG,RMRG_natural_gas_fired_combined_cycle_1,17,1,1.032711073153683e9
RMRG,RMRG_natural_gas_fired_combustion_turbine_1,17,1,0.0
RMRG,RMRG_natural_gas_internal_combustion_engine_1,17,1,6.724447508092006e7
RMRG,RMRG_onshore_wind_turbine_1,17,1,0.0
RMRG,RMRG_small_hydroelectric_1,17,1,5.591792705055966e7
RMRG,RMRG_solar_photovoltaic_1,17,1,0.0
SPPC,SPPC_biomass_1,18,1,0.0
SPPC,SPPC_conventional_hydroelectric_1,18,1,5.873766887706524e6
SPPC,SPPC_conventional_steam_coal_1,18,1,2.7527398743610555e8
SPPC,SPPC_natural_gas_fired_combined_cycle_1,18,1,5.1468955573732024e8
SPPC,SPPC_natural_gas_fired_combustion_turbine_1,18,1,0.0
SPPC,SPPC_natural_gas_internal_combustion_engine_1,18,1,7.550099681014477e7
SPPC,SPPC_natural_gas_steam_turbine_1,18,1,0.0
SPPC,SPPC_nuclear_1,18,1,8.390380756858586e8
SPPC,SPPC_onshore_wind_turbine_1,18,1,0.0
SPPC,SPPC_petroleum_liquids_1,18,1,0.0
SPPC,SPPC_small_hydroelectric_1,18,1,0.0
SPPC,SPPC_solar_photovoltaic_1,18,1,0.0
SPPN,SPPN_biomass_1,19,1,0.0
SPPN,SPPN_conventional_hydroelectric_1,19,1,8.540813667067537e8
SPPN,SPPN_conventional_steam_coal_1,19,1,3.4478064860084724e8
SPPN,SPPN_natural_gas_fired_combined_cycle_1,19,1,1.9592933501492906e8
SPPN,SPPN_natural_gas_fired_combustion_turbine_1,19,1,0.0
SPPN,SPPN_natural_gas_internal_combustion_engine_1,19,1,9.421637005031069e7
SPPN,SPPN_natural_gas_steam_turbine_1,19,1,0.0
SPPN,SPPN_nuclear_1,19,1,5.2562438622911614e8
SPPN,SPPN_onshore_wind_turbine_1,19,1,0.0
SPPN,SPPN_petroleum_liquids_1,19,1,0.0
SPPN,SPPN_small_hydroelectric_1,19,1,0.0
SPPN,SPPN_solar_photovoltaic_1,19,1,0.0
SPPS,SPPS_biomass_1,20,1,0.0
SPPS,SPPS_conventional_hydroelectric_1,20,1,1.567179853399039e8
SPPS,SPPS_conventional_steam_coal_1,20,1,1.854742386417988e8
SPPS,SPPS_hydroelectric_pumped_storage_1,20,1,1.417647255436837e8
SPPS,SPPS_natural_gas_fired_combined_cycle_1,20,1,2.6881534779719667e9
SPPS,SPPS_natural_gas_fired_combustion_turbine_1,20,1,0.0
SPPS,SPPS_natural_gas_internal_combustion_engine_1,20,1,8.984104218923812e7
SPPS,SPPS_onshore_wind_turbine_1,20,1,0.0
SPPS,SPPS_petroleum_liquids_1,20,1,0.0
SPPS,SPPS_small_hydroelectric_1,20,1,1.946067237920928e7
SPPS,SPPS_solar_photovoltaic_1,20,1,0.0
SRCA,SRCA_biomass_1,21,1,0.0
SRCA,SRCA_conventional_hydroelectric_1,21,1,1.8310967721746862e8
SRCA,SRCA_conventional_steam_coal_1,21,1,5.379011181048912e8
SRCA,SRCA_hydroelectric_pumped_storage_1,21,1,9.512274772715362e8
SRCA,SRCA_natural_gas_fired_combined_cycle_1,21,1,3.21584816034782e9
SRCA,SRCA_natural_gas_fired_combustion_turbine_1,21,1,0.0
SRCA,SRCA_natural_gas_steam_turbine_1,21,1,0.0
SRCA,SRCA_nuclear_1,21,1,8.927477994494272e9
SRCA,SRCA_petroleum_liquids_1,21,1,0.0
SRCA,SRCA_small_hydroelectric_1,21,1,1.818240332988065e7
SRCA,SRCA_solar_photovoltaic_1,21,1,0.0
SRCE,SRCE_biomass_1,22,1,0.0
SRCE,SRCE_conventional_hydroelectric_1,22,1,7.067897162893325e8
SRCE,SRCE_conventional_steam_coal_1,22,1,4.0442677752245975e8
SRCE,SRCE_hydroelectric_pumped_storage_1,22,1,6.033763024557775e8
SRCE,SRCE_natural_gas_fired_combined_cycle_1,22,1,4.230488061692067e9
SRCE,SRCE_natural_gas_fired_combustion_turbine_1,22,1,0.0
SRCE,SRCE_natural_gas_internal_combustion_engine_1,22,1,0.0
